2024-12-03T13:42:38.038-06:00  INFO 11676 --- [demo] [restartedMain] com.example.demo.DemoApplication         : Starting DemoApplication using Java 21.0.5 with PID 11676 (C:\Users\Cole Nola\Documents\WebAPI\demo\target\classes started by Cole Nola in C:\Users\Cole Nola\Documents\WebAPI)
2024-12-03T13:42:38.059-06:00  INFO 11676 --- [demo] [restartedMain] com.example.demo.DemoApplication         : No active profile set, falling back to 1 default profile: "default"
2024-12-03T13:42:38.126-06:00  INFO 11676 --- [demo] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-12-03T13:42:38.129-06:00  INFO 11676 --- [demo] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-12-03T13:42:39.066-06:00  INFO 11676 --- [demo] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-03T13:42:39.207-06:00  INFO 11676 --- [demo] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 119 ms. Found 1 JPA repository interface.
2024-12-03T13:42:40.195-06:00  INFO 11676 --- [demo] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-12-03T13:42:40.215-06:00  INFO 11676 --- [demo] [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-12-03T13:42:40.216-06:00  INFO 11676 --- [demo] [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-12-03T13:42:40.286-06:00  INFO 11676 --- [demo] [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-12-03T13:42:40.287-06:00  INFO 11676 --- [demo] [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2156 ms
2024-12-03T13:42:40.561-06:00  INFO 11676 --- [demo] [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-03T13:42:40.687-06:00  INFO 11676 --- [demo] [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.2.Final
2024-12-03T13:42:40.762-06:00  INFO 11676 --- [demo] [restartedMain] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-12-03T13:42:41.211-06:00  INFO 11676 --- [demo] [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-03T13:42:41.244-06:00  INFO 11676 --- [demo] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-12-03T13:42:41.705-06:00  INFO 11676 --- [demo] [restartedMain] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@43f7e628
2024-12-03T13:42:41.707-06:00  INFO 11676 --- [demo] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-12-03T13:42:41.824-06:00  INFO 11676 --- [demo] [restartedMain] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.40
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2024-12-03T13:42:42.756-06:00  INFO 11676 --- [demo] [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-03T13:42:42.805-06:00  INFO 11676 --- [demo] [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-03T13:42:43.254-06:00  WARN 11676 --- [demo] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T13:42:43.282-06:00  INFO 11676 --- [demo] [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-12-03T13:42:43.771-06:00  INFO 11676 --- [demo] [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2024-12-03T13:42:43.827-06:00  INFO 11676 --- [demo] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2024-12-03T13:42:43.836-06:00  INFO 11676 --- [demo] [restartedMain] com.example.demo.DemoApplication         : Started DemoApplication in 6.358 seconds (process running for 6.883)
2024-12-03T13:43:04.529-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-03T13:43:04.529-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-03T13:43:04.529-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2024-12-03T13:43:14.161-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-6] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:43:14
2024-12-03T13:43:29.095-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-2] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:43:29
2024-12-03T13:43:40.412-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-4] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:43:40
2024-12-03T13:43:56.025-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-8] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:43:56
2024-12-03T13:44:04.384-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-10] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:04
2024-12-03T13:44:06.063-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-3] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:06
2024-12-03T13:44:08.183-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-5] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:08
2024-12-03T13:44:26.054-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-7] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:26
2024-12-03T13:44:31.017-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-10] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:31
2024-12-03T13:44:36.015-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:36
2024-12-03T13:44:41.016-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-2] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:41
2024-12-03T13:44:46.016-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-3] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:46
2024-12-03T13:44:51.018-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-4] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:44:51
2024-12-03T13:45:26.517-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-6] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:26
2024-12-03T13:45:27.444-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-7] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:27
2024-12-03T13:45:28.448-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-8] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:28
2024-12-03T13:45:29.447-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-9] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:29
2024-12-03T13:45:30.455-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-10] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:30
2024-12-03T13:45:31.458-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:31
2024-12-03T13:45:32.463-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-2] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:32
2024-12-03T13:45:33.464-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-3] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:33
2024-12-03T13:45:34.469-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-4] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:34
2024-12-03T13:45:35.471-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-5] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:35
2024-12-03T13:45:36.473-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-6] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:36
2024-12-03T13:45:37.482-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-7] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:37
2024-12-03T13:45:38.490-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-8] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:38
2024-12-03T13:45:39.497-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-9] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:39
2024-12-03T13:45:40.502-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-10] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:40
2024-12-03T13:45:41.506-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-1] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:41
2024-12-03T13:45:42.518-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-2] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:42
2024-12-03T13:45:43.528-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-3] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:43
2024-12-03T13:45:44.535-06:00  INFO 11676 --- [demo] [http-nio-8080-exec-4] c.e.demo.filter.RequestLoggingFilter     : 2024-12-338 13:45:44
